song,total_words,unique_words,percent_unique,duration_sec,duration_min,words_per_minute
BIRDS_OF_A_FEATHER,63,40,63.49,210,3.5,18
BITTERSUITE,71,49,69.01,298,4.966666666666667,14.3
BLUE,99,58,58.59,343,5.716666666666667,17.32
CHIHIRO,53,33,62.26,303,5.05,10.5
DINER,81,56,69.14,186,3.1,26.13
L'AMOUR_DE_MA_VIE,76,39,51.32,333,5.55,13.69
LUNCH,69,47,68.12,179,2.9833333333333334,23.13
SKINNY,37,36,97.3,219,3.65,10.14
THE_GREATEST,38,27,71.05,293,4.883333333333334,7.78
WILDFLOWER,59,32,54.24,261,4.35,13.56
